State Area(km^2),formula,x,y,Population
24798565.48,24300000,2430,10000,5660
22343041,21000000,2100,10000,6000
22296883.98,21000000,2100,10000,9280
17457642.88,16000000,1600,10000,16510
14203899.04,14000000,1400,10000,4990
13897175.86,13500000,1350,10000,5050
11808661.28,11500000,1150,10000,4080
11282529.22,11000000,1100,10000,3470
9795939.86,9700000,9700,1000,2110
9424002.68,9420000,9420,1000,5960
8121099.42,8000000,8000,1000,2890
7006954.46,7000000,7000,1000,8600
6823050.98,6820000,6820,1000,7540
6430969.92,6430000,6430,1000,110
6068017.78,6000000,6000,1000,2730
5776076.44,5700000,5700,1000,2580
5683617.48,5600000,5600,1000,20
4034065.58,4030000,4030,1000,570
3875378.18,3850000,3850,1000,830
3649230.52,3500000,3500,1000,2290
3203601.52,3200000,3200,1000,2090
3060782.86,3000000,3000,1000,1010
2816012.98,2700000,2700,1000,2760
1625205.34,1620000,1620,1000,250
1617814.42,16100000,16010,1000,210
1527529.26,1500000,1500,1000,90
1201314.34,1200000,1200,1000,160
759815.56,760000,760,1000,300
597722.54,600000,600,1000,30
514176.16,500000,500,1000,50
268246.92,269000,269,1000,120
107458.18,110000,110,1000,1390
43693.38,44000,44,1000,50
35650.32,36000,36,1000,100
8260.44,8400,84,1000,90
2318.72,2600,26,100,10
,240000000,,,
